title;type;price;range;brand;image
AIWAYS U5 ION 2019;BEV;Erhältlich ab 37.990 EUR;400 km;AIWAYS;https://www.e-stations.de/img/cars/AIWAYS/214-U5%20ION-3.jpg
Aston Martin DBX CONCEPT 2015;BEV;;Reichweite noch unbekannt;Aston;https://www.e-stations.de/img/cars/Aston%20Martin/dbx-4.jpg
Atlis Motor Vehicles XT Pick-up 2019;BEV;vrs. Erhältlich ab 39.300 EUR;NEFZ-Reichweite (elekt.): 805 km;Atlis;https://www.e-stations.de/img/cars/Atlis%20Motor%20Vehicles/XT-1.jpg
Audi A3 Sportback e-tron 2014;PHEV;Erhältlich ab 37.900 EUR;NEFZ-Reichweite (elekt.): 50 km;Audi;https://www.e-stations.de/img/cars/Audi/a3-2.jpg
Audi e-tron 55 quattro 2018;BEV;Erhältlich ab 81.500 EUR;NEFZ-Reichweite (elekt.): 417 km;Audi;https://www.e-stations.de/img/cars/Audi/e-tron-1.jpg
Audi e-tron 55 quattro Sportback Basis 2020;BEV;Erhältlich ab 83.750 EUR;NEFZ-Reichweite (elekt.): 417 km;Audi;https://www.e-stations.de/img/cars/Audi/e-tron-1.jpg
Audi e-tron 50 quattro 2018;BEV;Erhältlich ab 69.100 EUR;NEFZ-Reichweite (elekt.): 417 km;Audi;https://www.e-stations.de/img/cars/Audi/e-tron-1.jpg
Audi e-tron 50 quattro Sportback Basis 2020;BEV;Erhältlich ab 71.350 EUR;NEFZ-Reichweite (elekt.): 417 km;Audi;
Audi e-tron S quattro 2019;BEV;Erhältlich ab 91.435 EUR;NEFZ-Reichweite (elekt.): 417 km;Audi;
Audi e-tron Sportback S quattro 2020;BEV;Erhältlich ab 96.050 EUR;NEFZ-Reichweite (elekt.): 417 km;Audi;https://www.e-stations.de/img/cars/Audi/e-tron-quattro-concept-1.JPG
Audi e-tron quattro concept 2015;BEV;;NEFZ-Reichweite (elekt.): 500 km;Audi;
Audi Q7 e-tron 2015;PHEV;Erhältlich ab 81.900 EUR;NEFZ-Reichweite (elekt.): 46 km;Audi;https://www.e-stations.de/img/cars/Audi/Q7-1.JPG
Audi Q8 e-tron 2017;PHEV;;NEFZ-Reichweite (elekt.): 600 km;Audi;https://www.e-stations.de/img/cars/Audi/R8-5.JPG
Audi R8 e-tron 2015;BEV;;NEFZ-Reichweite (elekt.): 450 km;Audi;https://www.e-stations.de/img/cars/Audi/R8-5.JPG
BMW 2er 225xe 2015;PHEV;Erhältlich ab 38.800 EUR;NEFZ-Reichweite (elekt.): 41 km;BMW;https://www.e-stations.de/img/cars/BMW/225xe-1.JPG
BMW 3er 330e 2013;PHEV;Erhältlich ab 43.600 EUR;NEFZ-Reichweite (elekt.): 35 km;BMW;https://www.e-stations.de/img/cars/BMW/BMW3-2.JPG
BMW 5er 530e iPerformance 2017;PHEV;Erhältlich ab 56.000 EUR;NEFZ-Reichweite (elekt.): 48 km;BMW;https://www.e-stations.de/img/cars/BMW/173-5er-1.jpg
BMW 7er 740e 2015;PHEV;Erhältlich ab 93.500 EUR;NEFZ-Reichweite (elekt.): 45 km;BMW;https://www.e-stations.de/img/cars/BMW/740e-01.JPG
BMW 7er 740Le xDrive 2015;PHEV;Erhältlich ab 91.900 EUR;NEFZ-Reichweite (elekt.): 45 km;BMW;https://www.e-stations.de/img/cars/BMW/740e-08.JPG
BMW i3 (60 Ah) 2013;BEV;Erhältlich ab 34.950 EUR;NEFZ-Reichweite (elekt.): 190 km;BMW;https://www.e-stations.de/img/cars/BMW/BMW-i3-1.JPG
BMW i3 s (94 Ah) 2017;BEV;Erhältlich ab 41.150 EUR;NEFZ-Reichweite (elekt.): 240 km;BMW;https://www.e-stations.de/img/cars/BMW/i3-1.jpg
BMW i3 (94 Ah) 2015;BEV;Erhältlich ab 37.550 EUR;NEFZ-Reichweite (elekt.): 280 km;BMW;https://www.e-stations.de/img/cars/BMW/i3-16.jpg
BMW i8 Roadster 2018;PHEV;Erhältlich ab 155.000 EUR;NEFZ-Reichweite (elekt.): 53 km;BMW;https://www.e-stations.de/img/cars/BMW/175-i8-1.jpg
BMW i8 2014;PHEV;Erhältlich ab 126.000 EUR;NEFZ-Reichweite (elekt.): 37 km;BMW;https://www.e-stations.de/img/cars/BMW/i8.JPG
BMW iX3 2021;BEV;Erhältlich ab 66.300 EUR;NEFZ-Reichweite (elekt.): 458 km;BMW;
BMW X3 xDrive30e 2017;PHEV;Erhältlich ab 47.350 EUR;NEFZ-Reichweite (elekt.): 51 km;BMW;
BMW X5 45e 2019;PHEV;Erhältlich ab 67.000 EUR;Reichweite noch unbekannt;BMW;https://www.e-stations.de/img/cars/BMW/230-X5-1.jpg
BMW X5 xDrive 40e 2015;PHEV;Erhältlich ab 71.600 EUR;NEFZ-Reichweite (elekt.): 31 km;BMW;https://www.e-stations.de/img/cars/BMW/BMWX5-1.JPG
BYTON M-Byte 2019;BEV;Erhältlich ab 37.500 EUR;NEFZ-Reichweite (elekt.): 390 km;BYTON;
Chevrolet Bolt 2017;BEV;vrs. Erhältlich ab 35.000 EUR;NEFZ-Reichweite (elekt.): 320 km;Chevrolet;https://www.e-stations.de/img/cars/Chevrolet/Bolt-7.jpg
Chevrolet Spark EV 2014;BEV;;NEFZ-Reichweite (elekt.): 132 km;Chevrolet;https://www.e-stations.de/img/cars/Chevrolet/SparkEV-1.JPG
Chevrolet Volt 2010;E-REV;Erhältlich ab 41.950 EUR;Reichweite noch unbekannt;Chevrolet;https://www.e-stations.de/img/cars/Chevrolet/volt.jpg
Chevrolet Volt 2016;E-REV;;NEFZ-Reichweite (elekt.): 85 km;Chevrolet;https://www.e-stations.de/img/cars/Chevrolet/Volt2016-1.JPG
Citroen Aircross C5 2020;PHEV;Erhältlich ab 40.390 EUR;NEFZ-Reichweite (elekt.): 54 km;Citroen;
Citroen Berlingo L1 2014;BEV;Erhältlich ab 24.978 EUR (optional Akkuleasing);NEFZ-Reichweite (elekt.): 170 km;Citroen;https://www.e-stations.de/img/cars/Citroen/Citroen-Berlingo-Electrique.jpg
Citroen C-ZERO 2010;BEV;Erhältlich ab 19.800 EUR;NEFZ-Reichweite (elekt.): 150 km;Citroen;https://www.e-stations.de/img/cars/Citroen/czero.jpg
